,ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,"WHITE,HISPANIC","BLACK,ASIAN","NATIVE,OTHER",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGRE
1739,,,Cristeștii Ciceului,06,,Cristeștii Ciceului,1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,,,Cristian,33,,Cristian,3437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,,,Cristian,09,,Cristian,3849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742,,,Cristineşti,07,,Cristineşti,3866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743,,,Cristolţ,31,,Cristolţ,1516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744,,,Cristolțel,31,,Cristolțel,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1745,,,Cristur,21,,Cristur,1376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746,,,Cristur Crișeni,31,,Cristur Crișeni,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747,,,Cristuru Secuiesc,20,,Cristuru Secuiesc,9554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1748,,,Criva de Jos,29,,Criva de Jos,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,,,Criva de Sus,29,,Criva de Sus,613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,,,Crivești,23,,Crivești,1473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,,,Crivina,09,,Crivina,3289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,,,Crivina,30,,Crivina,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,,,Crivina,26,,Crivina,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,,,Crivina,42,,Crivina,928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,,,Crivăț,41,,Crivăț,2747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,,,Crizbav,09,,Crizbav,1373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757,,,Crişan,37,,Crişan,1392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758,,,Crişcior,21,,Crişcior,4232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,,,Crişeni,31,,Crişeni,2390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,,,Criştioru de Jos,05,,Criştioru de Jos,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,,,Criș,27,,Criș,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,,,Crișan,37,,Crișan,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763,,,Crișan,21,,Crișan,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,,,Crișeni,20,,Crișeni,729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,,,Criștelec,31,,Criștelec,659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766,,,Criț,09,,Criț,593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767,,,Crocna,02,,Crocna,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768,,,Croici,19,,Croici,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769,,,Croitori,16,,Croitori,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,,,Crovu,16,,Crovu,1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1773,,,Crucea,34,,Crucea,2279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,,,Crucea,23,,Crucea,1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1771,,,Crucea,14,,Crucea,3413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1774,,,Crucea de Sus,40,,Crucea de Sus,915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1775,,,Cruceni,02,,Cruceni,613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
