,ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,"WHITE,HISPANIC","BLACK,ASIAN","NATIVE,OTHER",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGRE
86,,,Rietavas,63,,Rietavas,3737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,Rokiškis,60,,Rokiškis,16255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,Rusnė,58,,Rusnė,2484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,Rūdiškės,65,,Rūdiškės,2616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,Salantai,58,,Salantai,1829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,Sargėnai,57,,Sargėnai,2495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,Seda,63,,Seda,1224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,Senieji Trakai,65,,Senieji Trakai,1501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,Silute,58,,Silute,21760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,Simnas,56,,Simnas,1864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,Skaidiškės,65,,Skaidiškės,4457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,Skuodas,58,,Skuodas,7726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,Smalininkai,62,,Smalininkai,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,Taurage,62,,Taurage,27662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,Telsiai,63,,Telsiai,30098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,Trakai,65,,Trakai,5530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,Tytuvėnėliai,61,,Tytuvėnėliai,2775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,Ukmerge,65,,Ukmerge,25886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,Utena,64,,Utena,33240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,Užventis,61,,Užventis,827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,Vabalninkas,60,,Vabalninkas,1177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,Varniai,63,,Varniai,1227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,Varėna,56,,Varėna,10304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,Veisiejai,56,,Veisiejai,1654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,Venta,61,,Venta,3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,Vepriai,65,,Vepriai,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,Viekšniai,63,,Viekšniai,2212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,Vievis,65,,Vievis,5269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,Vilkaviskis,59,,Vilkaviskis,13011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,Vilkija,57,,Vilkija,2289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,Vilkpėdė,65,,Vilkpėdė,21346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,Vilnius,65,,Vilnius,542366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,Virbalis,59,,Virbalis,1281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,Visaginas,64,,Visaginas,28348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,Zarasai,64,,Zarasai,8095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,Šakiai,59,,Šakiai,6613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,Šalčininkai,65,,Šalčininkai,6891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,Šeduva,61,,Šeduva,3321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,Šeškinė,65,,Šeškinė,31333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,Šiauliai,61,,Šiauliai,130587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,Šilainiai,57,,Šilainiai,40600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,Šilalė,62,,Šilalė,6026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,Širvintos,65,,Širvintos,7321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,Šventoji,58,,Šventoji,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,Švenčionys,65,,Švenčionys,5538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,Švenčionėliai,65,,Švenčionėliai,6790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,Žagarė,61,,Žagarė,2201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,Žemaičių Naumiestis,58,,Žemaičių Naumiestis,1284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,Žiežmariai,57,,Žiežmariai,4060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
